segment,usage_level,shoots_per_month,photos_per_month,pricing_model,byo_key,egress_mode,revenue_usd,cogs_api_usd,cogs_infra_usd,cogs_support_usd,cogs_total_usd,gross_profit_usd,gross_margin_pct,breakeven_photos_per_month,cogs_per_photo_usd
Typical realtor,low,0.20,5,Per-image $0.75,no,fixed (thumbnails+caching),3.75,0.23,0.02,2.00,2.26,1.49,39.9,,0.451
Typical realtor,low,0.20,5,Per-image $0.75,no,as-built (no thumbnails, refresh churn),3.75,0.23,0.15,2.00,2.38,1.37,36.6,,0.476
Typical realtor,low,0.20,5,Per-edit-type tiered,no,fixed (thumbnails+caching),4.15,0.23,0.02,2.00,2.26,1.89,45.7,,0.451
Typical realtor,low,0.20,5,Per-edit-type tiered,no,as-built (no thumbnails, refresh churn),4.15,0.23,0.15,2.00,2.38,1.77,42.7,,0.476
Typical realtor,low,0.20,5,Credit packs (~$0.80/credit blended),no,fixed (thumbnails+caching),4.48,0.23,0.02,2.00,2.26,2.22,49.7,,0.451
Typical realtor,low,0.20,5,Credit packs (~$0.80/credit blended),no,as-built (no thumbnails, refresh churn),4.48,0.23,0.15,2.00,2.38,2.10,46.9,,0.476
Typical realtor,low,0.20,5,Subscription + included volume,no,fixed (thumbnails+caching),29.00,0.23,0.02,2.00,2.26,26.74,92.2,20000,0.451
Typical realtor,low,0.20,5,Subscription + included volume,no,as-built (no thumbnails, refresh churn),29.00,0.23,0.15,2.00,2.38,26.62,91.8,20000,0.476
Typical realtor,low,0.20,5,Unlimited $149/mo,no,fixed (thumbnails+caching),149.00,0.23,0.02,2.00,2.26,146.74,98.5,2882,0.451
Typical realtor,low,0.20,5,Unlimited $149/mo,no,as-built (no thumbnails, refresh churn),149.00,0.23,0.15,2.00,2.38,146.62,98.4,1941,0.476
Typical realtor,low,0.20,5,BYO key + $39/mo software fee,yes,fixed (thumbnails+caching),39.00,0.00,0.02,6.00,6.02,32.98,84.6,7098,1.205
Typical realtor,low,0.20,5,BYO key + $39/mo software fee,yes,as-built (no thumbnails, refresh churn),39.00,0.00,0.15,6.00,6.15,32.85,84.2,1123,1.229
Typical realtor,low,0.20,5,Hybrid: $49 base + 300 incl + $0.12 over + staging $1.50,no,fixed (thumbnails+caching),49.30,0.23,0.02,2.00,2.26,47.04,95.4,20000,0.451
Typical realtor,low,0.20,5,Hybrid: $49 base + 300 incl + $0.12 over + staging $1.50,no,as-built (no thumbnails, refresh churn),49.30,0.23,0.15,2.00,2.38,46.92,95.2,20000,0.476
